Tipo,Precio_USD,Ubicacion,Habitaciones,Banos,M2,Estado,Fuente,URL,Agregado
terreno,3500000.0,,,,400.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/87-Terreno/2404/tv-91-zona-sur-terreno-comecial-con-galpones-circunvalacion-1.html,2026-02-24 13:03:39
casa,1800000.0,Maracaibo,4,1,,sent,angelpinton,https://www.angelpinton.com/8760/inmuebles/venta-casa-4-dormitorios-barrio-catatumbo-maracaibo-v,2026-02-20 22:19:35
,1300000.0,,4,,450.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/3714/sav-1574-zona-este-apartamento-edificio-angelini-sector-la-virginia.html,2026-02-20 22:19:35
townhouse,1250000.0,Maracaibo,5,5,225.0,sent,angelpinton,https://www.angelpinton.com/8779/inmuebles/venta-conjunto-cerrado-5-dormitorios-avenida-fuerzas-armadas-maracaibo-v,2026-02-22 13:03:07
comercial,1000000.0,Maracaibo,,,4500.0,sent,angelpinton,https://www.angelpinton.com/8775/inmuebles/venta-edificio-comercial-circunvalacion-no-2-maracaibo-v,2026-02-22 13:03:07
comercial,1000000.0,Maracaibo - San Francisco,,,,sold,eliterealestate,https://eliterealestateca.com/propiedad/edificio-comercial-san-francisco/,2026-02-20 18:17:59
,500000.0,Maracaibo - Los Estanques,,4,,sold,eliterealestate,https://eliterealestateca.com/propiedad/galpon-los-estanques/,2026-02-20 18:17:59
terreno,500000.0,Maracaibo - Lago Mar Beach,,,,sold,eliterealestate,https://eliterealestateca.com/propiedad/terreno-urb-lago-mar-beach/,2026-02-20 18:17:59
apartamento,430000.0,Maracaibo - Banco Mara,,,231.0,sent,instagram,https://www.instagram.com/p/DUo8MPWDgE-/,2026-02-20 19:02:59
comercial,420000.0,,,,1500.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/84-Local/4328/lv-327-zona-norte-locales-avenida-universidad.html,2026-02-20 22:19:35
casa,400000.0,Maracaibo,7,8,45.0,sent,angelpinton,https://www.angelpinton.com/8711/inmuebles/venta-casa-7-dormitorios-los-olivos-maracaibo-v,2026-02-22 13:03:07
casa,400000.0,Maracaibo - La Florida,5,5,,sold,eliterealestate,https://eliterealestateca.com/propiedad/casa-quinta-sector-la-florida/,2026-02-20 18:17:59
casa,390000.0,,,,700.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/4272/cv-1857-casa-quinta-comercial-duplex-san-bernardino-municipio-libertador.html,2026-02-24 13:03:39
casa,350000.0,Maracaibo - La Lago,,,,sent,eliterealestate,https://eliterealestateca.com/propiedad/casa-quinta-sector-la-lago/,2026-02-24 13:03:39
townhouse,340000.0,Maracaibo,5,6,320.0,sent,angelpinton,https://www.angelpinton.com/8757/inmuebles/venta-conjunto-cerrado-5-dormitorios-avenida-universidad-maracaibo-v,2026-02-20 22:19:35
townhouse,320000.0,,6,,580.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4153/sav-1694-zona-norte-penthouse-edificio-bellas-artes.html,2026-02-20 22:19:35
casa,300000.0,Maracaibo - Villa Antoañona,5,7,,sold,eliterealestate,https://eliterealestateca.com/propiedad/casa-villa-antoanona/,2026-02-20 18:17:59
casa,300000.0,Villa Antoañona.,5,7,,sold,eliterealestate,https://eliterealestateca.com/propiedad/casa-villa-antoanona/,2026-02-20 18:17:46
casa,285000.0,Maracaibo,2,,580.0,sent,instagram,https://www.instagram.com/p/DU698VJDBPg/,2026-02-20 19:02:59
apartamento,277000.0,"Maracaibo - La Lago 

Consta De",3,,158.0,sent,instagram,https://www.instagram.com/p/DVEWuJXgDrp/,2026-02-22 19:02:35
,275000.0,,5,,294.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4147/sav-1691-zona-norte-apartamento-edificio-domus-majestic-sector-cecilio-acosta.html,2026-02-24 13:03:39
townhouse,210000.0,Maracaibo,3,3,,sent,instagram,https://www.instagram.com/p/DU4MoDwjNzS/,2026-02-20 19:02:59
casa,200000.0,Maracaibo - Canta Claro,5,6,540.0,sent,angelpinton,https://www.angelpinton.com/8701/inmuebles/venta-casa-5-dormitorios-canta-claro-maracaibo-v,2026-02-20 22:19:35
,190000.0,,3,,240.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/4052/scv-1810-zona-norte-townhouse-residencias-punta-norte-avenida-milagro-norte-sector-isla-dorada.html,2026-02-23 13:03:06
apartamento,185000.0,Maracaibo - Tierra Negra,3,4,,sent,instagram,https://www.instagram.com/p/DVCUbsOkQHg/,2026-02-22 01:02:27
casa,170000.0,,5,,650.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/3667/scv-1713-zona-norte-casa-urbanizacion-irama.html,2026-02-20 22:19:35
casa,165000.0,Maracaibo,8,5,624.0,sent,angelpinton,https://www.angelpinton.com/8676/inmuebles/venta-casa-8-dormitorios-urb-maracaibo-maracaibo-v,2026-02-20 22:19:35
casa,165000.0,Maracaibo,,5,624.0,sent,angelpinton,https://www.angelpinton.com/8677/inmuebles/venta-local-comercial-urb-maracaibo-maracaibo-v,2026-02-20 22:19:35
,160000.0,,5,,237.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/4331/cv-1874-zona-norte-townhouse-conjunto-residencial-caminos-del-doral-villa-alto-prado.html,2026-02-24 13:03:39
casa,150000.0,Maracaibo - Monte Bello,7,6,800.0,sent,instagram,https://www.instagram.com/p/DU_0IxXgGKC/,2026-02-21 13:03:08
casa,150000.0,Maracaibo - Las Naciones,2,,285.0,sent,instagram,https://www.instagram.com/p/DUEZ82akct9/,2026-02-20 19:02:59
comercial,150000.0,Maracaibo - Sabaneta,,4,,sold,eliterealestate,https://eliterealestateca.com/propiedad/edificio-comercial-sector-sabaneta/,2026-02-20 18:17:59
,145000.0,,4,,150.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/689/av-671-zona-norte-apartamento-edificio-santa-barbara-sector-paraiso.html,2026-02-24 13:03:39
,140000.0,,3,,,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/83-Casa-TownHouse-Anexo/3556/scv-1680-zona-norte-townhouse-conjunto-residencial-cabo-norte-isla-dorada.html,2026-02-20 22:19:35
,135000.0,,2,,98.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4330/av-1744-zona-norte-apartamento-edificio-costa-amalfitana-sector-paraiso.html,2026-02-24 13:03:39
terreno,130000.0,,,,265.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/87-Terreno/390/tv-243-zona-norte-terreno-avenida-universidad.html,2026-02-20 22:19:35
townhouse,130000.0,Maracaibo,3,2,250.0,sent,instagram,https://www.instagram.com/p/DU1bAuYkY5W/,2026-02-20 19:02:59
casa,130000.0,,4,4,,sold,eliterealestate,https://eliterealestateca.com/propiedad/casa-av-3h-con-calle-67/,2026-02-20 18:17:59
apartamento,120000.0,Maracaibo,3,3,127.0,sent,angelpinton,https://www.angelpinton.com/8758/inmuebles/venta-apartamento-3-dormitorios-tierra-negra-maracaibo-v,2026-02-20 22:19:35
apartamento,120000.0,,3,,122.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/77-Apartamento/4324/av-1740-apartamento-edificio-las-rocas-la-boyera-avenida-principal-el-hatillo-caracas.html,2026-02-20 22:19:35
comercial,118000.0,,2,,500.0,sold,regaladogroup,https://regaladogroup.net/inmuebles/160/view/84-Local/4175/lv-320-zona-norte-local-comercial-sector-tierra-negra-avenida-10.html,2026-02-24 13:03:39
casa,115000.0,Maracaibo,4,2,214.0,sent,instagram,https://www.instagram.com/p/DUFBGMCDNtC/,2026-02-20 19:02:59
apartamento,95000.0,Maracaibo,4,4,230.0,sent,angelpinton,https://www.angelpinton.com/8714/inmuebles/venta-apartamento-4-dormitorios-avenida-el-milagro-maracaibo-v,2026-02-20 22:19:35
apartamento,90000.0,Maracaibo,5,3,125.0,sent,angelpinton,https://www.angelpinton.com/8689/inmuebles/venta-apartamento-5-dormitorios-delicias-norte-maracaibo-v,2026-02-20 22:19:35
